English,Chinese,Jyutping
table,枱,toi2
chair,椅,ji2
bed,床,cung4
sofa,梳化,so1 faa3
television,電視,din6 si6
refrigerator,雪櫃,syut3 gwai6
microwave,微波爐,mei4 bo1 lou4
toilet,廁所,ci3 so2
shower,淋浴,lam4 juk6
cup,杯,bui1
plate,碟,dip6
spoon,匙,ci4
knife,刀,dou1
fork,叉,caa1
lamp,檯燈,toi4 dang1
mirror,鏡,geng3
closet,衣櫃,ji1 gwai6
window,窗,coeng1
door,門,mun4
curtain,窗簾,coeng1 lim4
